"Id","Var1","High_propensity","Low_propensity"
"1","1",2154,887
"2","10",371,126
"3","11",1370,90
"4","12",514,193
"5","13",775,243
"6","14",849,103
"7","15",545,146
"8","16",655,202
"9","17",467,163
"10","18",366,113
"12","19",241,110
"13","2",1280,588
"14","20",415,160
"15","21",382,118
"16","22",402,147
"17","23",409,130
"18","24",344,148
"19","25",391,144
"20","26",355,141
"21","27",300,92
"22","28",102,335
"23","29",434,156
"24","3",1065,188
"25","30",187,225
"26","31",401,236
"27","32",457,526
"28","33",427,239
"29","34",342,232
"30","35",325,364
"31","36",169,313
"32","4",899,185
"33","5",638,203
"34","6",656,134
"35","7",554,116
"36","8",709,270
"37","9",1297,82
