"Id","Var1","Freq_x","Freq_y"
"1","1",242,21
"2","2",271,23
"3","3",241,23
"4","4",274,29
"5","5",290,45
"6","6",261,24
"7","7",180,29
"8","8",196,20
"9","9",175,21
"10","10",194,29
"11","11",186,20
"12","12",226,43
"13","13",213,55
"14","14",248,23
"15","15",279,35
"16","16",260,82
"17","18",316,43
"18","19",536,39
"19","20",312,108
"20","21",333,6
"21","22",341,40
"22","23",292,41
"23","24",284,26
"24","25",393,57
"25","26",323,50
"26","27",298,21
"27","28",344,41
"28","29",512,171
"29","31",335,13
"30","32",385,66
"31","33",305,30
"32","34",305,49
"33","35",299,32
"34","36",314,85
"35","37",284,35
"36","38",302,57
"37","39",271,72
"38","40",214,97
"39","41",161,44
"40","42",382,61
"41","43",237,11
"42","44",155,55
"43","45",127,43
"44","46",167,51
"45","47",199,41
"46","48",488,35
"47","49",136,38
"48","50",207,74
"49","51",240,84
"50","52",153,60
"51","53",222,80
"52","54",173,182
"54","55",191,58
"55","56",132,43
"56","57",141,54
"57","58",241,92
"58","59",120,5
"59","60",161,67
"60","61",113,38
"61","62",153,53
"62","63",262,98
"63","64",105,42
"64","65",187,75
"65","66",217,78
"66","67",175,72
"67","68",112,36
"68","69",175,65
"69","70",319,81
"70","71",88,24
"71","72",129,38
"72","73",159,66
"73","74",111,37
"74","75",141,43
"75","76",177,54
"76","77",116,40
"77","78",183,63
"78","79",169,47
"79","80",281,74
"80","81",139,67
"81","82",162,55
"82","83",217,56
"83","84",126,56
"84","85",123,161
"85","86",135,136
"86","87",120,156
"87","88",94,152
"88","89",159,156
"89","90",183,181
"90","91",159,241
"91","92",211,175
"92","93",129,142
"93","94",140,458
"94","95",169,367
"95","96",165,362
"96","97",128,257
"97","98",199,288
"98","99",150,379
